aptName,Year,disDate,disDay,disQuantity(kg),disCount
Bongdam,2017,01,Sat,230.2,115
Bongdam,2017,02,Sun,257.4,128
Bongdam,2017,03,Mon,322.2,153
Bongdam,2017,04,Tues,266.9,162
Bongdam,2017,05,Wed,294.8,169
Bongdam,2017,06,Thu,242.25,141
Bongdam,2017,07,Fri,181.45,118
Bongdam,2017,08,Sat,244.7,128
Bongdam,2017,09,Sun,282.6,135
Bongdam,2017,10,Mon,289.1,144
Bongdam,2017,11,Tues,328.35,173
Bongdam,2017,12,Wed,343.95,198
Bongdam,2017,13,Thu,212.15,123
Bongdam,2017,14,Fri,279.5,147
Bongdam,2017,15,Sat,246.7,128
Bongdam,2017,16,Sun,386.65,168
Bongdam,2017,17,Mon,335.55,169
Bongdam,2017,18,Tues,284.45,159
Bongdam,2017,19,Wed,295.2,171
Bongdam,2017,20,Thu,214.55,129
Bongdam,2017,21,Fri,231.85,132
Bongdam,2017,22,Sat,273.25,144
Bongdam,2017,23,Sun,274.5,132
Bongdam,2017,24,Mon,388.05,184
Bongdam,2017,25,Tues,277.8,143
Bongdam,2017,26,Wed,333.05,188
Bongdam,2017,27,Thu,211.6,129
Bongdam,2017,28,Fri,231.05,119
Bongdam,2017,29,Sat,239.35,124
Bongdam,2017,30,Sun,352.05,164
Bongdam,2018,01,Sun,274.45,134
Bongdam,2018,02,Mon,261.1,138
Bongdam,2018,03,Tues,269.45,177
Bongdam,2018,04,Wed,289.45,176
Bongdam,2018,05,Thu,260.85,138
Bongdam,2018,06,Fri,290.8,136
Bongdam,2018,07,Sat,247.5,132
Bongdam,2018,08,Sun,218.15,115
Bongdam,2018,09,Mon,281.4,137
Bongdam,2018,10,Tues,248.7,140
Bongdam,2018,11,Wed,360.55,191
Bongdam,2018,12,Thu,227.9,140
Bongdam,2018,13,Fri,276.6,143
Bongdam,2018,14,Sat,299.8,144
Bongdam,2018,15,Sun,330.95,147
Bongdam,2018,16,Mon,345.4,177
Bongdam,2018,17,Tues,312.4,160
Bongdam,2018,18,Wed,289.15,181
Bongdam,2018,19,Thu,219.2,127
Bongdam,2018,20,Fri,271.8,147
Bongdam,2018,21,Sat,302.5,146
Bongdam,2018,22,Sun,334.85,160
Bongdam,2018,23,Mon,302.75,157
Bongdam,2018,24,Tues,222.05,145
Bongdam,2018,25,Wed,340.95,197
Bongdam,2018,26,Thu,224.45,139
Bongdam,2018,27,Fri,280.5,150
Bongdam,2018,28,Sat,302.65,147
Bongdam,2018,29,Sun,345.0,168
Bongdam,2018,30,Mon,266.45,138
Bongdam,2019,01,Mon,277.8,146
Bongdam,2019,02,Tues,259.15,137
Bongdam,2019,03,Wed,301.0,177
Bongdam,2019,04,Thu,208.95,133
Bongdam,2019,05,Fri,208.75,120
Bongdam,2019,06,Sat,259.3,152
Bongdam,2019,07,Sun,358.4,157
Bongdam,2019,08,Mon,298.2,155
Bongdam,2019,09,Tues,257.6,140
Bongdam,2019,10,Wed,237.85,145
Bongdam,2019,11,Thu,235.65,132
Bongdam,2019,12,Fri,262.7,150
Bongdam,2019,13,Sat,228.2,122
Bongdam,2019,14,Sun,402.1,185
Bongdam,2019,15,Mon,340.05,162
Bongdam,2019,16,Tues,259.85,144
Bongdam,2019,17,Wed,275.95,169
Bongdam,2019,18,Thu,272.1,141
Bongdam,2019,19,Fri,244.05,127
Bongdam,2019,20,Sat,236.5,138
Bongdam,2019,21,Sun,374.45,165
Bongdam,2019,22,Mon,334.6,164
Bongdam,2019,23,Tues,248.8,143
Bongdam,2019,24,Wed,305.7,197
Bongdam,2019,25,Thu,200.7,122
Bongdam,2019,26,Fri,250.95,128
Bongdam,2019,27,Sat,287.4,152
Bongdam,2019,28,Sun,323.1,153
Bongdam,2019,29,Mon,299.6,148
Bongdam,2019,30,Tues,176.35,114
Bongdam,2020,01,Wed,277.85,165
Bongdam,2020,02,Thu,210.1,124
Bongdam,2020,03,Fri,212.55,117
Bongdam,2020,04,Sat,270.6,129
Bongdam,2020,05,Sun,321.6,153
Bongdam,2020,06,Mon,251.7,141
Bongdam,2020,07,Tues,265.15,139
Bongdam,2020,08,Wed,325.4,186
Bongdam,2020,09,Thu,188.85,116
Bongdam,2020,10,Fri,263.85,134
Bongdam,2020,11,Sat,246.65,130
Bongdam,2020,12,Sun,285.0,147
Bongdam,2020,13,Mon,230.65,109
Bongdam,2020,14,Tues,327.1,165
Bongdam,2020,15,Wed,309.6,180
Bongdam,2020,16,Thu,242.2,130
Bongdam,2020,17,Fri,258.05,128
Bongdam,2020,18,Sat,249.45,142
Bongdam,2020,19,Sun,310.6,168
Bongdam,2020,20,Mon,300.15,162
Bongdam,2020,21,Tues,261.35,143
Bongdam,2020,22,Wed,309.6,162
Bongdam,2020,23,Thu,144.15,77
Bongdam,2020,24,Fri,291.45,149
Bongdam,2020,25,Sat,292.75,152
Bongdam,2020,26,Sun,358.85,167
Bongdam,2020,27,Mon,299.5,165
Bongdam,2020,28,Tues,261.8,130
Bongdam,2020,29,Wed,264.15,150
Bongdam,2020,30,Thu,191.95,123
