cities,cityName,Year,Month,disDate,disQuantity(ton),disCount
강원도,춘천시,2020,8,1,13.99257,7760
강원도,춘천시,2020,8,2,16.04048,8528
강원도,춘천시,2020,8,3,14.5656,8008
강원도,춘천시,2020,8,4,12.65365,7475
강원도,춘천시,2020,8,5,13.55887,7815
강원도,춘천시,2020,8,6,13.40496,7669
강원도,춘천시,2020,8,7,12.30594,7396
강원도,춘천시,2020,8,8,13.15659,7681
강원도,춘천시,2020,8,9,16.1868,8620
강원도,춘천시,2020,8,10,13.80887,7845
강원도,춘천시,2020,8,11,13.08128,7851
강원도,춘천시,2020,8,12,12.74493,7622
강원도,춘천시,2020,8,13,11.97604,7289
강원도,춘천시,2020,8,14,12.09684,7596
강원도,춘천시,2020,8,15,13.45622,7708
강원도,춘천시,2020,8,16,14.62736,8222
강원도,춘천시,2020,8,17,16.04334,9096
강원도,춘천시,2020,8,18,13.78222,7795
강원도,춘천시,2020,8,19,12.93475,7789
강원도,춘천시,2020,8,20,12.51109,7668
강원도,춘천시,2020,8,21,12.35258,7528
강원도,춘천시,2020,8,22,11.62738,6997
강원도,춘천시,2020,8,23,18.57175,10354
강원도,춘천시,2020,8,24,14.68421,8512
강원도,춘천시,2020,8,25,12.51122,8035
강원도,춘천시,2020,8,26,12.73965,8400
강원도,춘천시,2020,8,27,11.5015,7449
강원도,춘천시,2020,8,28,11.84431,7706
강원도,춘천시,2020,8,29,12.25279,7750
강원도,춘천시,2020,8,30,16.87925,9931
강원도,춘천시,2020,8,31,13.32326,8190
강원도,원주시,2020,8,1,38.021,24811
강원도,원주시,2020,8,2,43.93905,26555
강원도,원주시,2020,8,3,37.74095,23742
강원도,원주시,2020,8,4,40.14875,26299
강원도,원주시,2020,8,5,38.37195,25920
강원도,원주시,2020,8,6,34.55265,23514
강원도,원주시,2020,8,7,35.06975,24594
강원도,원주시,2020,8,8,34.4271,22629
강원도,원주시,2020,8,9,47.39675,29422
강원도,원주시,2020,8,10,35.5371,23693
강원도,원주시,2020,8,11,36.4633,25267
강원도,원주시,2020,8,12,35.095,25091
강원도,원주시,2020,8,13,34.6599,24377
강원도,원주시,2020,8,14,33.26275,24009
강원도,원주시,2020,8,15,33.75375,22651
강원도,원주시,2020,8,16,40.30445,26816
강원도,원주시,2020,8,17,43.21225,28673
강원도,원주시,2020,8,18,38.18315,25749
강원도,원주시,2020,8,19,35.5783,24779
강원도,원주시,2020,8,20,34.32125,25032
강원도,원주시,2020,8,21,35.1156,25326
강원도,원주시,2020,8,22,35.0643,24278
강원도,원주시,2020,8,23,49.8367,32600
강원도,원주시,2020,8,24,38.59865,27425
강원도,원주시,2020,8,25,35.70085,26010
강원도,원주시,2020,8,26,37.55165,27672
강원도,원주시,2020,8,27,33.8976,24614
강원도,원주시,2020,8,28,33.22065,25020
강원도,원주시,2020,8,29,33.29115,24297
강원도,원주시,2020,8,30,45.19175,31158
강원도,원주시,2020,8,31,36.81115,27189
강원도,강릉시,2020,8,1,8.1161,5234
강원도,강릉시,2020,8,2,10.5865,6450
강원도,강릉시,2020,8,3,7.6863,5005
강원도,강릉시,2020,8,4,8.4047,5630
강원도,강릉시,2020,8,5,7.5631,5046
강원도,강릉시,2020,8,6,7.5333,5307
강원도,강릉시,2020,8,7,7.92495,5254
강원도,강릉시,2020,8,8,7.06595,4761
강원도,강릉시,2020,8,9,9.759,6203
강원도,강릉시,2020,8,10,7.6392,5086
강원도,강릉시,2020,8,11,8.0769,5684
강원도,강릉시,2020,8,12,8.44985,5581
강원도,강릉시,2020,8,13,7.38355,5322
강원도,강릉시,2020,8,14,7.45495,5291
강원도,강릉시,2020,8,15,7.4834,5025
강원도,강릉시,2020,8,16,8.62705,5763
강원도,강릉시,2020,8,17,9.3282,6201
강원도,강릉시,2020,8,18,7.83575,5598
강원도,강릉시,2020,8,19,7.38035,5402
강원도,강릉시,2020,8,20,8.2329,5038
강원도,강릉시,2020,8,21,8.179,5477
강원도,강릉시,2020,8,22,7.0198,4961
강원도,강릉시,2020,8,23,9.75005,6557
강원도,강릉시,2020,8,24,7.97455,5658
강원도,강릉시,2020,8,25,7.00485,5374
강원도,강릉시,2020,8,26,7.1886,5525
강원도,강릉시,2020,8,27,6.52135,5086
강원도,강릉시,2020,8,28,6.5905,5057
강원도,강릉시,2020,8,29,7.30845,5305
강원도,강릉시,2020,8,30,8.20765,5726
강원도,강릉시,2020,8,31,7.56535,5660
강원도,동해시,2020,8,1,18.59315,5068
강원도,동해시,2020,8,2,9.16675,5539
강원도,동해시,2020,8,3,46.585,5786
강원도,동해시,2020,8,4,39.54965,5667
강원도,동해시,2020,8,5,36.08465,5620
강원도,동해시,2020,8,6,23.6698,5279
강원도,동해시,2020,8,7,33.02215,5341
강원도,동해시,2020,8,8,17.4042,4810
강원도,동해시,2020,8,9,8.5645,5307
강원도,동해시,2020,8,10,38.9052,5001
강원도,동해시,2020,8,11,36.19945,5898
강원도,동해시,2020,8,12,26.6079,5515
강원도,동해시,2020,8,13,16.74255,5219
강원도,동해시,2020,8,14,45.27675,5836
강원도,동해시,2020,8,15,17.34165,4760
강원도,동해시,2020,8,16,7.93055,5082
강원도,동해시,2020,8,17,146.092104,6226
강원도,동해시,2020,8,18,38.2783,5767
강원도,동해시,2020,8,19,27.75845,5512
강원도,동해시,2020,8,20,26.1649,5343
강원도,동해시,2020,8,21,30.8013,5334
강원도,동해시,2020,8,22,13.64785,4698
강원도,동해시,2020,8,23,9.60495,5606
강원도,동해시,2020,8,24,37.3194,5854
강원도,동해시,2020,8,25,33.72,5562
강원도,동해시,2020,8,26,25.65265,5726
강원도,동해시,2020,8,27,22.95145,5236
강원도,동해시,2020,8,28,29.2395,5484
강원도,동해시,2020,8,29,6.40405,4579
강원도,동해시,2020,8,30,7.64445,5169
강원도,동해시,2020,8,31,33.15945,5868
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,태백시,2020,8,,,
강원도,속초시,2020,8,1,1.08975,626
강원도,속초시,2020,8,2,1.06765,617
강원도,속초시,2020,8,3,1.0922,612
강원도,속초시,2020,8,4,0.8478,493
강원도,속초시,2020,8,5,1.0464,558
강원도,속초시,2020,8,6,1.0993,653
강원도,속초시,2020,8,7,0.99015,600
강원도,속초시,2020,8,8,0.90785,576
