aptName,Year,disDate,disDay,disQuantity(kg),disCount
jugong,2017,01,Sat,333.25,256
jugong,2017,02,Sun,529.0,344
jugong,2017,03,Mon,350.2,246
jugong,2017,04,Tues,342.85,227
jugong,2017,05,Wed,331.3,223
jugong,2017,06,Thu,335.25,242
jugong,2017,07,Fri,346.35,262
jugong,2017,08,Sat,442.65,295
jugong,2017,09,Sun,496.4,322
jugong,2017,10,Mon,319.8,194
jugong,2017,11,Tues,420.4,275
jugong,2017,12,Wed,370.8,265
jugong,2017,13,Thu,466.45,275
jugong,2017,14,Fri,386.9,292
jugong,2017,15,Sat,384.5,258
jugong,2017,16,Sun,576.15,380
jugong,2017,17,Mon,420.2,267
jugong,2017,18,Tues,344.55,250
jugong,2017,19,Wed,316.05,242
jugong,2017,20,Thu,365.35,257
jugong,2017,21,Fri,369.0,264
jugong,2017,22,Sat,416.75,287
jugong,2017,23,Sun,544.75,355
jugong,2017,24,Mon,354.0,232
jugong,2017,25,Tues,414.65,259
jugong,2017,26,Wed,364.7,249
jugong,2017,27,Thu,407.95,270
jugong,2017,28,Fri,333.3,248
jugong,2017,29,Sat,494.25,326
jugong,2017,30,Sun,533.3,348
jugong,2018,01,Sun,493.4,269
jugong,2018,02,Mon,345.7,225
jugong,2018,03,Tues,434.55,283
jugong,2018,04,Wed,348.9,247
jugong,2018,05,Thu,421.3,262
jugong,2018,06,Fri,394.25,263
jugong,2018,07,Sat,494.6,311
jugong,2018,08,Sun,475.7,314
jugong,2018,09,Mon,306.1,174
jugong,2018,10,Tues,445.9,282
jugong,2018,11,Wed,344.45,249
jugong,2018,12,Thu,420.2,279
jugong,2018,13,Fri,341.4,258
jugong,2018,14,Sat,338.3,255
jugong,2018,15,Sun,610.6,378
jugong,2018,16,Mon,392.75,256
jugong,2018,17,Tues,434.6,279
jugong,2018,18,Wed,417.9,264
jugong,2018,19,Thu,351.1,256
jugong,2018,20,Fri,375.25,266
jugong,2018,21,Sat,498.7,320
jugong,2018,22,Sun,541.55,342
jugong,2018,23,Mon,313.2,226
jugong,2018,24,Tues,399.0,271
jugong,2018,25,Wed,394.55,268
jugong,2018,26,Thu,412.05,273
jugong,2018,27,Fri,449.05,300
jugong,2018,28,Sat,437.8,292
jugong,2018,29,Sun,670.0,386
jugong,2018,30,Mon,392.85,241
jugong,2019,01,Mon,262.9,202
jugong,2019,02,Tues,333.25,223
jugong,2019,03,Wed,282.95,217
jugong,2019,04,Thu,339.35,228
jugong,2019,05,Fri,351.7,224
jugong,2019,06,Sat,357.65,245
jugong,2019,07,Sun,457.9,325
jugong,2019,08,Mon,298.2,195
jugong,2019,09,Tues,296.55,203
jugong,2019,10,Wed,295.0,185
jugong,2019,11,Thu,311.45,222
jugong,2019,12,Fri,352.3,262
jugong,2019,13,Sat,429.7,273
jugong,2019,14,Sun,512.75,345
jugong,2019,15,Mon,332.8,198
jugong,2019,16,Tues,312.35,232
jugong,2019,17,Wed,325.2,239
jugong,2019,18,Thu,333.35,233
jugong,2019,19,Fri,370.0,261
jugong,2019,20,Sat,414.8,271
jugong,2019,21,Sun,495.9,328
jugong,2019,22,Mon,398.15,231
jugong,2019,23,Tues,275.2,204
jugong,2019,24,Wed,364.6,255
jugong,2019,25,Thu,289.7,195
jugong,2019,26,Fri,307.95,222
jugong,2019,27,Sat,391.45,273
jugong,2019,28,Sun,544.8,347
jugong,2019,29,Mon,280.0,205
jugong,2019,30,Tues,368.3,230
jugong,2020,01,Wed,291.4,216
jugong,2020,02,Thu,319.45,232
jugong,2020,03,Fri,279.4,224
jugong,2020,04,Sat,375.9,264
jugong,2020,05,Sun,607.35,404
jugong,2020,06,Mon,274.9,200
jugong,2020,07,Tues,250.5,212
jugong,2020,08,Wed,316.95,204
jugong,2020,09,Thu,337.1,233
jugong,2020,10,Fri,349.95,247
jugong,2020,11,Sat,348.35,264
jugong,2020,12,Sun,438.2,316
jugong,2020,13,Mon,235.9,154
jugong,2020,14,Tues,322.5,241
jugong,2020,15,Wed,294.85,215
jugong,2020,16,Thu,314.1,217
jugong,2020,17,Fri,373.6,275
jugong,2020,18,Sat,440.85,293
jugong,2020,19,Sun,545.65,352
jugong,2020,20,Mon,337.05,232
jugong,2020,21,Tues,320.05,233
jugong,2020,22,Wed,341.3,216
jugong,2020,23,Thu,206.2,151
jugong,2020,24,Fri,386.05,284
jugong,2020,25,Sat,384.25,289
jugong,2020,26,Sun,538.9,356
jugong,2020,27,Mon,265.1,185
jugong,2020,28,Tues,317.75,229
jugong,2020,29,Wed,310.85,229
jugong,2020,30,Thu,307.4,228
