aptName,Year,disDate,disDay,disQuantity(kg),disCount
Moamirae,2017,01,Sat,419.4,231
Moamirae,2017,02,Sun,636.2,302
Moamirae,2017,03,Mon,667.9,380
Moamirae,2017,04,Tues,403.95,244
Moamirae,2017,05,Wed,470.3,274
Moamirae,2017,06,Thu,400.7,252
Moamirae,2017,07,Fri,397.4,224
Moamirae,2017,08,Sat,497.15,293
Moamirae,2017,09,Sun,570.7,280
Moamirae,2017,10,Mon,611.4,339
Moamirae,2017,11,Tues,500.1,282
Moamirae,2017,12,Wed,459.85,283
Moamirae,2017,13,Thu,523.85,308
Moamirae,2017,14,Fri,435.9,265
Moamirae,2017,15,Sat,375.55,257
Moamirae,2017,16,Sun,577.75,319
Moamirae,2017,17,Mon,699.2,424
Moamirae,2017,18,Tues,381.15,254
Moamirae,2017,19,Wed,395.4,254
Moamirae,2017,20,Thu,474.45,288
Moamirae,2017,21,Fri,364.7,247
Moamirae,2017,22,Sat,528.45,273
Moamirae,2017,23,Sun,589.25,296
Moamirae,2017,24,Mon,657.8,391
Moamirae,2017,25,Tues,427.05,253
Moamirae,2017,26,Wed,446.05,279
Moamirae,2017,27,Thu,437.25,284
Moamirae,2017,28,Fri,328.5,227
Moamirae,2017,29,Sat,471.2,283
Moamirae,2017,30,Sun,547.45,288
Moamirae,2018,01,Sun,448.8,221
Moamirae,2018,02,Mon,591.2,353
Moamirae,2018,03,Tues,421.2,248
Moamirae,2018,04,Wed,389.3,239
Moamirae,2018,05,Thu,436.65,232
Moamirae,2018,06,Fri,388.4,251
Moamirae,2018,07,Sat,449.6,259
Moamirae,2018,08,Sun,472.65,235
Moamirae,2018,09,Mon,534.35,336
Moamirae,2018,10,Tues,399.9,243
Moamirae,2018,11,Wed,407.95,267
Moamirae,2018,12,Thu,415.15,252
Moamirae,2018,13,Fri,508.5,286
Moamirae,2018,14,Sat,438.7,254
Moamirae,2018,15,Sun,588.95,321
Moamirae,2018,16,Mon,659.7,402
Moamirae,2018,17,Tues,438.2,260
Moamirae,2018,18,Wed,482.65,259
Moamirae,2018,19,Thu,445.75,260
Moamirae,2018,20,Fri,399.5,247
Moamirae,2018,21,Sat,559.6,288
Moamirae,2018,22,Sun,600.55,316
Moamirae,2018,23,Mon,682.7,386
Moamirae,2018,24,Tues,441.3,274
Moamirae,2018,25,Wed,380.95,245
Moamirae,2018,26,Thu,391.15,240
Moamirae,2018,27,Fri,456.45,288
Moamirae,2018,28,Sat,389.45,253
Moamirae,2018,29,Sun,482.7,284
Moamirae,2018,30,Mon,605.4,366
Moamirae,2019,01,Mon,594.8,338
Moamirae,2019,02,Tues,322.3,195
Moamirae,2019,03,Wed,317.05,190
Moamirae,2019,04,Thu,382.75,217
Moamirae,2019,05,Fri,351.65,205
Moamirae,2019,06,Sat,393.7,217
Moamirae,2019,07,Sun,498.15,273
Moamirae,2019,08,Mon,498.8,322
Moamirae,2019,09,Tues,320.9,198
Moamirae,2019,10,Wed,254.9,174
Moamirae,2019,11,Thu,419.9,239
Moamirae,2019,12,Fri,356.2,224
Moamirae,2019,13,Sat,421.85,248
Moamirae,2019,14,Sun,473.0,248
Moamirae,2019,15,Mon,540.35,341
Moamirae,2019,16,Tues,322.95,199
Moamirae,2019,17,Wed,310.8,193
Moamirae,2019,18,Thu,398.1,240
Moamirae,2019,19,Fri,410.25,229
Moamirae,2019,20,Sat,398.3,255
Moamirae,2019,21,Sun,504.3,267
Moamirae,2019,22,Mon,482.7,305
Moamirae,2019,23,Tues,342.0,215
Moamirae,2019,24,Wed,381.85,226
Moamirae,2019,25,Thu,352.15,187
Moamirae,2019,26,Fri,428.4,236
Moamirae,2019,27,Sat,419.2,236
Moamirae,2019,28,Sun,430.85,219
Moamirae,2019,29,Mon,538.75,333
Moamirae,2019,30,Tues,330.6,192
Moamirae,2020,01,Wed,340.4,203
Moamirae,2020,02,Thu,381.15,239
Moamirae,2020,03,Fri,299.4,185
Moamirae,2020,04,Sat,388.25,211
Moamirae,2020,05,Sun,550.85,274
Moamirae,2020,06,Mon,439.4,300
Moamirae,2020,07,Tues,322.55,199
Moamirae,2020,08,Wed,378.75,222
Moamirae,2020,09,Thu,401.5,243
Moamirae,2020,10,Fri,392.45,223
Moamirae,2020,11,Sat,344.45,213
Moamirae,2020,12,Sun,466.05,238
Moamirae,2020,13,Mon,478.7,281
Moamirae,2020,14,Tues,339.45,228
Moamirae,2020,15,Wed,266.8,179
Moamirae,2020,16,Thu,350.9,213
Moamirae,2020,17,Fri,380.8,230
Moamirae,2020,18,Sat,400.95,223
Moamirae,2020,19,Sun,516.05,274
Moamirae,2020,20,Mon,530.05,316
Moamirae,2020,21,Tues,334.2,220
Moamirae,2020,22,Wed,358.45,206
Moamirae,2020,23,Thu,325.95,174
Moamirae,2020,24,Fri,447.5,257
Moamirae,2020,25,Sat,463.15,228
Moamirae,2020,26,Sun,463.55,269
Moamirae,2020,27,Mon,554.3,307
Moamirae,2020,28,Tues,289.15,188
Moamirae,2020,29,Wed,354.35,202
Moamirae,2020,30,Thu,327.1,230
