Year,Month,Hour,disQuantity(ton),disCount
2017,07,00,850.0127,424697
2017,07,01,376.5693,152750
2017,07,02,241.78445,66408
2017,07,03,212.95145,49960
2017,07,04,417.43195,119007
2017,07,05,1351.15755,478541
2017,07,06,2938.86815,1073047
2017,07,07,3450.19325,1802514
2017,07,08,4113.66297,2427863
2017,07,09,4273.277482,2438189
2017,07,10,3668.8338,2028119
2017,07,11,3079.51741,1675718
2017,07,12,2864.786315,1569982
2017,07,13,3061.10905,1577611
2017,07,14,2836.03635,1497527
2017,07,15,2763.83912,1570316
2017,07,16,2971.9641,1699011
2017,07,17,3257.505324,1875706
2017,07,18,3816.612,2269710
2017,07,19,4843.62569,2940466
2017,07,20,5500.67512,3225086
2017,07,21,5033.95265,2843764
2017,07,22,3278.096102,1785199
2017,07,23,2011.615008,1067646
2017,08,00,775.72188,410885
2017,08,01,354.04053,151467
2017,08,02,231.59736,65810
2017,08,03,216.77348,49781
2017,08,04,373.97634,115830
2017,08,05,1203.12926,417955
2017,08,06,2701.58837,1067438
2017,08,07,3213.67448,1786478
2017,08,08,3744.246219,2341489
2017,08,09,4033.006964,2391821
2017,08,10,3454.061055,2017679
2017,08,11,2866.605074,1670437
2017,08,12,2609.77811,1561936
2017,08,13,2964.67931,1558644
2017,08,14,2741.70362,1475166
2017,08,15,2565.611873,1526912
2017,08,16,2730.341195,1659352
2017,08,17,2982.005591,1823132
2017,08,18,3552.316206,2247592
2017,08,19,4681.55534,3013315
2017,08,20,4967.857219,3103000
2017,08,21,4453.199645,2700750
2017,08,22,2904.33627,1701429
2017,08,23,1751.097969,993824
2017,09,00,640.53569,353550
2017,09,01,301.08631,129315
2017,09,02,212.0763,58661
2017,09,03,198.31823,43230
2017,09,04,326.40828,104044
2017,09,05,965.556875,317547
2017,09,06,2439.80448,943467
2017,09,07,3006.197525,1680876
2017,09,08,3407.698334,2223118
2017,09,09,3795.350189,2299813
2017,09,10,3065.276193,1858137
2017,09,11,2597.397305,1527241
2017,09,12,2343.05118,1424617
2017,09,13,2676.99873,1472508
2017,09,14,2545.727318,1414685
2017,09,15,2413.16691,1515080
2017,09,16,2620.609985,1654216
2017,09,17,2853.884115,1811061
2017,09,18,3465.826379,2248625
2017,09,19,4268.98786,2806794
2017,09,20,4365.76829,2817159
2017,09,21,3782.99554,2376533
2017,09,22,2458.870035,1496769
2017,09,23,1513.241555,892710
2017,10,00,691.2926,347543
2017,10,01,331.61343,132214
2017,10,02,238.10597,59681
2017,10,03,205.33389,43538
2017,10,04,450.34675,97500
2017,10,05,992.61544,263075
2017,10,06,2370.55073,751444
2017,10,07,3199.97673,1510414
2017,10,08,3717.58693,2053574
2017,10,09,4269.649175,2310790
2017,10,10,3817.30274,2109181
2017,10,11,3402.21703,1829132
2017,10,12,3108.50275,1695946
2017,10,13,3442.253699,1719454
2017,10,14,3239.03076,1643336
2017,10,15,2967.0879,1683871
2017,10,16,3178.56481,1810494
2017,10,17,3548.91518,2008577
2017,10,18,4059.92207,2333378
2017,10,19,4630.709768,2714550
2017,10,20,4564.81451,2641184
2017,10,21,3920.942249,2216021
2017,10,22,2538.55482,1399641
2017,10,23,1532.25954,823519
2017,11,00,635.984245,276370
2017,11,01,304.6908,104587
2017,11,02,206.214,49989
2017,11,03,199.71879,36671
2017,11,04,483.36385,84142
2017,11,05,1079.19793,232049
2017,11,06,2218.84366,594188
2017,11,07,3179.748709,1347790
2017,11,08,3844.54114,1896703
2017,11,09,4299.351598,2063999
2017,11,10,3711.77093,1786866
2017,11,11,3293.466469,1541907
2017,11,12,3051.35401,1473705
2017,11,13,3579.798739,1555554
2017,11,14,3360.999727,1513122
2017,11,15,3230.032,1606855
2017,11,16,3543.94369,1752839
2017,11,17,3884.125357,1886744
2017,11,18,4018.04266,1982655
2017,11,19,4496.088948,2287052
2017,11,20,4359.848609,2193941
2017,11,21,3908.570059,1913496
2017,11,22,2523.67121,1190777
2017,11,23,1477.360849,678265
2017,12,00,591.553508,250244
2017,12,01,295.3708,100819
2017,12,02,200.58918,47835
2017,12,03,173.7603,33540
2017,12,04,390.80443,68094
2017,12,05,920.07502,179226
2017,12,06,1838.481109,433799
2017,12,07,2688.42896,1026191
2017,12,08,3422.31256,1597755
2017,12,09,3958.657779,1820573
2017,12,10,3722.17491,1753022
2017,12,11,3417.611576,1598461
2017,12,12,3243.550335,1545410
2017,12,13,3726.858679,1644537
2017,12,14,3557.748928,1612249
2017,12,15,3428.500554,1667303
2017,12,16,3705.771018,1783102
2017,12,17,3938.48284,1858627
2017,12,18,3819.823959,1826623
2017,12,19,4129.231677,2018391
2017,12,20,3847.378739,1865504
2017,12,21,3394.256845,1601019
2017,12,22,2198.880278,1008164
2017,12,23,1321.228859,590547
2018,01,00,530.83243,237442
2018,01,01,261.02393,97518
2018,01,02,178.63897,46465
2018,01,03,163.4134,33622
2018,01,04,325.82459,66472
2018,01,05,826.52045,169037
2018,01,06,1627.31077,403642
2018,01,07,2396.473929,933342
2018,01,08,3105.234205,1481432
2018,01,09,3569.495169,1687246
2018,01,10,3465.203229,1668001
2018,01,11,3261.323109,1553130
2018,01,12,3155.190042,1551348
2018,01,13,3617.219339,1675630
2018,01,14,3475.925169,1610944
2018,01,15,3320.989768,1648489
2018,01,16,3455.657089,1719881
2018,01,17,3667.017175,1788672
2018,01,18,3696.637936,1823800
2018,01,19,3983.769787,2006253
2018,01,20,3678.399957,1845135
2018,01,21,3214.930667,1582616
2018,01,22,1964.662599,944265
2018,01,23,1186.70537,558503
2018,02,00,535.18289,230868
2018,02,01,258.75092,88498
2018,02,02,174.668,40270
2018,02,03,175.72403,29227
2018,02,04,303.29427,59252
2018,02,05,719.46322,152997
2018,02,06,1532.709439,374252
2018,02,07,2355.797219,918519
2018,02,08,3018.054578,1419894
2018,02,09,3493.949066,1645127
2018,02,10,3354.287577,1610648
2018,02,11,3113.893919,1466845
2018,02,12,3025.435579,1451620
2018,02,13,3388.146729,1534250
2018,02,14,3234.364248,1462378
2018,02,15,3021.418484,1480835
2018,02,16,3129.795178,1523679
2018,02,17,3321.738353,1590992
2018,02,18,3582.313828,1726321
2018,02,19,3688.254829,1812003
2018,02,20,3378.349656,1651560
2018,02,21,3047.714608,1459941
2018,02,22,2057.266407,958795
2018,02,23,1205.404946,544599
2018,03,00,563.33386,249531
2018,03,01,289.82816,97824
2018,03,02,193.00594,45421
2018,03,03,182.0204,32862
2018,03,04,379.25517,73598
2018,03,05,885.90436,193118
2018,03,06,1976.46327,544723
2018,03,07,2885.20588,1221446
2018,03,08,3372.091757,1746776
2018,03,09,3835.627046,1951529
2018,03,10,3438.544205,1763317
2018,03,11,3118.005168,1566265
2018,03,12,2999.070188,1548507
2018,03,13,3283.108467,1588547
2018,03,14,3111.966287,1516281
2018,03,15,2945.240418,1556974
2018,03,16,3120.089339,1635628
2018,03,17,3319.285349,1712486
2018,03,18,3724.329143,1947000
2018,03,19,4188.706236,2218717
2018,03,20,4025.348645,2109678
2018,03,21,3532.609948,1806470
2018,03,22,2205.117117,1088964
2018,03,23,1235.438858,592448
2018,04,00,563.56543,261738
2018,04,01,287.02722,99857
2018,04,02,187.1919,45658
2018,04,03,160.77213,33337
2018,04,04,337.70005,75809
2018,04,05,945.06364,240390
2018,04,06,2193.896589,714502
2018,04,07,2920.06145,1348127
2018,04,08,3351.066689,1856651
