Cityname,Year,Month,disDay,disQuantity(ton),disCount
Hwaseong,2017,07,Sun,530.1729,259825
Hwaseong,2017,07,Mon,451.4257,233263
Hwaseong,2017,07,Tues,345.87945,188742
Hwaseong,2017,07,Wed,326.51175,182166
Hwaseong,2017,07,Thu,320.44073,180635
Hwaseong,2017,07,Fri,294.020258,164808
Hwaseong,2017,07,Sat,404.99908,211379
Hwaseong,2017,08,Sun,373.7995,200138
Hwaseong,2017,08,Mon,319.8637,179683
Hwaseong,2017,08,Tues,389.4655,223019
Hwaseong,2017,08,Wed,369.55835,216219
Hwaseong,2017,08,Thu,362.269,212864
Hwaseong,2017,08,Fri,290.0895,170368
Hwaseong,2017,08,Sat,290.32495,163893
Hwaseong,2017,09,Sun,383.60146,210286
Hwaseong,2017,09,Mon,314.68893,181126
Hwaseong,2017,09,Tues,271.4588,165444
Hwaseong,2017,09,Wed,266.23887,161881
Hwaseong,2017,09,Thu,267.69883,162792
Hwaseong,2017,09,Fri,324.35622,196904
Hwaseong,2017,09,Sat,353.9252,201545
Hwaseong,2017,10,Sun,485.39467,242849
Hwaseong,2017,10,Mon,467.69151,240061
Hwaseong,2017,10,Tues,397.89994,212165
Hwaseong,2017,10,Wed,272.58573,148176
Hwaseong,2017,10,Thu,273.91508,148587
Hwaseong,2017,10,Fri,273.81809,148700
Hwaseong,2017,10,Sat,291.739,151634
Hwaseong,2017,11,Sun,483.79498,196278
Hwaseong,2017,11,Mon,383.03661,164523
Hwaseong,2017,11,Tues,339.68962,152738
Hwaseong,2017,11,Wed,391.1573,183210
Hwaseong,2017,11,Thu,386.87179,180818
Hwaseong,2017,11,Fri,308.69344,139927
Hwaseong,2017,11,Sat,329.84123,138669
Hwaseong,2017,12,Sun,498.98038,207881
Hwaseong,2017,12,Mon,347.44825,149887
Hwaseong,2017,12,Tues,289.81782,130433
Hwaseong,2017,12,Wed,275.59523,127470
Hwaseong,2017,12,Thu,278.31683,128453
Hwaseong,2017,12,Fri,344.63252,158466
Hwaseong,2017,12,Sat,374.97914,162009
Hwaseong,2018,01,Sun,409.45371,174062
Hwaseong,2018,01,Mon,420.58291,183080
Hwaseong,2018,01,Tues,351.46453,158747
Hwaseong,2018,01,Wed,333.70292,154882
Hwaseong,2018,01,Thu,263.76914,122308
Hwaseong,2018,01,Fri,258.3282,119900
Hwaseong,2018,01,Sat,278.76463,122875
Hwaseong,2018,02,Sun,382.65985,160018
Hwaseong,2018,02,Mon,326.75711,141940
Hwaseong,2018,02,Tues,291.08884,130208
Hwaseong,2018,02,Wed,298.39078,135045
Hwaseong,2018,02,Thu,316.00725,141392
Hwaseong,2018,02,Fri,260.8656,117399
Hwaseong,2018,02,Sat,274.86069,117733
Hwaseong,2018,03,Sun,418.90402,184896
Hwaseong,2018,03,Mon,332.41043,152520
Hwaseong,2018,03,Tues,297.7237,142082
Hwaseong,2018,03,Wed,274.76457,135727
Hwaseong,2018,03,Thu,361.8185,172075
Hwaseong,2018,03,Fri,349.3682,170463
Hwaseong,2018,03,Sat,367.86028,170625
Hwaseong,2018,04,Sun,498.6196,235611
Hwaseong,2018,04,Mon,408.724,199429
Hwaseong,2018,04,Tues,298.78673,151407
Hwaseong,2018,04,Wed,279.81613,145822
Hwaseong,2018,04,Thu,259.41418,136388
Hwaseong,2018,04,Fri,268.88609,141014
Hwaseong,2018,04,Sat,271.41646,133180
Hwaseong,2018,05,Sun,412.09205,197882
Hwaseong,2018,05,Mon,364.32806,182515
Hwaseong,2018,05,Tues,391.53148,201865
Hwaseong,2018,05,Wed,378.72164,198720
Hwaseong,2018,05,Thu,372.95654,197644
Hwaseong,2018,05,Fri,299.13978,158898
Hwaseong,2018,05,Sat,294.43895,148471
Hwaseong,2018,06,Sun,478.1761,234779
Hwaseong,2018,06,Mon,385.19749,201707
Hwaseong,2018,06,Tues,299.30291,164156
Hwaseong,2018,06,Wed,373.00319,199819
Hwaseong,2018,06,Thu,332.84844,181700
Hwaseong,2018,06,Fri,405.20869,224657
Hwaseong,2018,06,Sat,441.92676,228493
Hwaseong,2018,07,Sun,590.53517,291088
Hwaseong,2018,07,Mon,505.31869,264283
Hwaseong,2018,07,Tues,488.86353,268827
Hwaseong,2018,07,Wed,367.18532,207849
Hwaseong,2018,07,Thu,362.92105,204989
Hwaseong,2018,07,Fri,348.71059,198305
Hwaseong,2018,07,Sat,379.48089,199454
Hwaseong,2018,08,Sun,426.43342,231755
Hwaseong,2018,08,Mon,352.63054,200707
Hwaseong,2018,08,Tues,307.5503,182568
Hwaseong,2018,08,Wed,421.29751,248377
Hwaseong,2018,08,Thu,411.2632,243705
Hwaseong,2018,08,Fri,377.48157,225872
Hwaseong,2018,08,Sat,326.7258,185137
Hwaseong,2018,09,Sun,534.12698,291016
Hwaseong,2018,09,Mon,320.75262,181705
Hwaseong,2018,09,Tues,313.84542,182253
